order_id,paymentTypeId,paymentName,amount,currency,insertDate
138591850,29,YS Online,217.9,TRY,2023-08-31T20:50:05.403
138592501,90,Trendyol Online,217.9,TRY,2023-08-31T20:50:03.477
138592516,2,Kredi Kartı,479.8,TRY,2023-08-31T21:16:40.357
138592545,2,Kredi Kartı,404.82,TRY,2023-08-31T19:57:11.42
138592955,2,Kredi Kartı,265.9,TRY,2023-08-31T20:50:03.947
138592958,2,Kredi Kartı,217.9,TRY,2023-08-31T20:50:04.677
138593383,90,Trendyol Online,457.8,TRY,2023-08-31T19:57:10.657
138593842,29,YS Online,687.7,TRY,2023-08-31T20:50:05.92
138594493,29,YS Online,218.9,TRY,2023-08-31T20:50:12.347
138594579,33,Getir Online,217.9,TRY,2023-08-31T20:50:11.03
138594800,2,Kredi Kartı,451.8,TRY,2023-08-31T21:13:44.823
138597000,33,Getir Online,196.11,TRY,2023-08-31T20:50:06.467
138597420,2,Kredi Kartı,265.9,TRY,2023-08-31T20:50:07.143
138597793,1,Nakit,283.8,TRY,2023-08-31T20:50:07.823
138599328,29,YS Online,262.9,TRY,2023-08-31T20:50:08.96
138599949,2,Kredi Kartı,413.8,TRY,2023-08-31T20:50:08.34
138601070,26,Metropol,291.9,TRY,2023-08-31T20:56:24.083
138601573,26,Metropol,263.9,TRY,2023-08-31T22:08:28.157
138602095,1,Nakit,280.8,TRY,2023-08-31T20:50:14.817
138602097,29,YS Online,228.9,TRY,2023-08-31T20:56:14.493
138603347,604,Token Flex,224.9,TRY,2023-08-31T20:50:15.697
138603559,2,Kredi Kartı,979.6,TRY,2023-08-31T22:09:16.11
138603567,1,Nakit,207.9,TRY,2023-08-31T20:50:10.373
138603576,33,Getir Online,394.02,TRY,2023-08-31T20:56:09.527
138606527,33,Getir Online,217.9,TRY,2023-08-31T22:08:55.957
138607054,29,YS Online,342.8,TRY,2023-08-31T20:56:28.09
138607980,574,Multinet Online,272.8,TRY,2023-08-31T20:56:12.737
138608144,33,Getir Online,416.52,TRY,2023-08-31T22:08:30.927
138609682,90,Trendyol Online,237.9,TRY,2023-08-31T22:08:50.403
138611591,3,Multinet,274.8,TRY,2023-08-31T22:08:52.44
138613021,90,Trendyol Online,197.9,TRY,2023-08-31T22:08:25.86
138615052,4,Smart Ticket,601.83,TRY,2023-08-31T22:08:49.467
138616669,33,Getir Online,1144.5,TRY,2023-08-31T22:08:46.143
138616723,29,YS Online,252.9,TRY,2023-08-31T22:09:15.153
138619578,29,YS Online,461.8,TRY,2023-08-31T22:09:17.167
138625747,33,Getir Online,275.8,TRY,2023-08-31T22:09:14.237
138630203,1,Nakit,217.9,TRY,2023-08-31T22:08:56.73
138633838,29,YS Online,244.9,TRY,2023-08-31T22:09:20.1
138634382,90,Trendyol Online,224.9,TRY,2023-08-31T22:09:21.29
138634868,569,Migros Online,218.9,TRY,2023-08-31T22:09:18.157
138638340,33,Getir Online,198.81,TRY,2023-08-31T22:09:56.623
138638386,29,YS Online,217.9,TRY,2023-08-31T22:09:58.217
138638480,1,Nakit,200.0,TRY,2023-08-31T22:09:50.327
138638480,2,Kredi Kartı,98.9,TRY,2023-08-31T22:09:50.343
138639912,569,Migros Online,230.9,TRY,2023-08-31T22:10:05.12
138640118,29,YS Online,218.9,TRY,2023-08-31T22:10:00.14
138641921,1,Nakit,218.9,TRY,2023-08-31T22:10:08.907
138644205,29,YS Online,437.8,TRY,2023-08-31T22:10:06.507
138646612,33,Getir Online,253.9,TRY,2023-08-31T22:26:48.783
138647862,2,Kredi Kartı,517.8,TRY,2023-08-31T23:16:35.583
138648652,2,Kredi Kartı,485.3,TRY,2023-08-31T23:16:35.173
138654378,29,YS Online,217.9,TRY,2023-08-31T23:16:47.4
138656266,29,YS Online,218.9,TRY,2023-08-31T23:16:37.3
138659398,90,Trendyol Online,271.9,TRY,2023-09-01T00:07:02.133
138659731,2,Kredi Kartı,527.8,TRY,2023-08-31T23:16:37.997
138664748,29,YS Online,217.9,TRY,2023-09-01T01:33:44.153
138666404,2,Kredi Kartı,787.6,TRY,2023-09-01T01:20:42.1
138666535,29,YS Online,250.9,TRY,2023-09-01T00:07:05.987
138666907,1,Nakit,469.8,TRY,2023-09-01T01:33:50.08
138667305,90,Trendyol Online,435.8,TRY,2023-09-01T01:33:42.837
138667307,604,Token Flex,218.9,TRY,2023-09-01T01:33:43.44
138668172,2,Kredi Kartı,435.8,TRY,2023-09-01T01:33:49.297
138668907,29,YS Online,218.9,TRY,2023-09-01T01:33:46.807
138669081,29,YS Online,223.9,TRY,2023-09-01T01:33:45.87
138669182,2,Kredi Kartı,537.8,TRY,2023-09-01T01:33:48.56
138669296,574,Multinet Online,218.9,TRY,2023-09-01T01:33:47.657
138670175,2,Kredi Kartı,499.0,TRY,2023-09-01T02:00:17.697
138670175,4,Smart Ticket,500.6,TRY,2023-09-01T02:00:17.707
138670893,2,Kredi Kartı,762.7,TRY,2023-09-01T01:20:45.103
138670973,2,Kredi Kartı,250.9,TRY,2023-09-01T01:48:06.13
138671748,3,Multinet,244.9,TRY,2023-09-01T01:48:01.17
138671771,33,Getir Online,398.52,TRY,2023-09-01T01:48:00.63
138671880,29,YS Online,224.9,TRY,2023-09-01T01:48:00.037
138672271,90,Trendyol Online,223.9,TRY,2023-09-01T01:47:59.447
138672895,29,YS Online,223.9,TRY,2023-09-01T01:59:56.693
138686619,26,Metropol,217.9,TRY,2023-09-01T11:57:40.17
138687643,5,SetCard,197.01,TRY,2023-09-01T12:59:42.767
138688103,2,Kredi Kartı,266.9,TRY,2023-09-01T12:59:39.727
138688593,5,SetCard,218.9,TRY,2023-09-01T11:57:41.52
138689107,4,Smart Ticket,435.8,TRY,2023-09-01T12:59:43.667
138693260,33,Getir Online,197.01,TRY,2023-09-01T12:59:38.853
138693367,4,Smart Ticket,263.9,TRY,2023-09-01T13:03:15.12
138693898,4,Smart Ticket,230.9,TRY,2023-09-01T12:59:38.02
138694148,33,Getir Online,196.11,TRY,2023-09-01T13:03:14.177
138696660,4,Smart Ticket,294.9,TRY,2023-09-01T12:59:40.737
138696774,33,Getir Online,196.11,TRY,2023-09-01T12:59:44.44
138697480,5,SetCard,224.9,TRY,2023-09-01T12:59:45.223
138697862,3,Multinet,222.9,TRY,2023-09-01T14:00:22.237
138698029,29,YS Online,437.8,TRY,2023-09-01T14:00:21.44
138698289,2,Kredi Kartı,417.8,TRY,2023-09-01T12:30:42.17
138698508,29,YS Online,656.7,TRY,2023-09-01T14:00:03.277
138699934,29,YS Online,1131.5,TRY,2023-09-01T14:00:02.203
138700264,3,Multinet,224.9,TRY,2023-09-01T14:00:00.453
138700429,1,Nakit,224.9,TRY,2023-09-01T20:19:16.977
138703169,64,Havale,207.9,TRY,2023-09-01T13:17:56.097
138703298,90,Trendyol Online,217.9,TRY,2023-09-01T14:00:19.793
138705439,29,YS Online,244.9,TRY,2023-09-01T14:00:04.417
138710612,91,Pluxee (Sodexo) Pass Mobil,252.9,TRY,2023-09-01T14:00:20.627
138711572,29,YS Online,224.9,TRY,2023-09-01T14:00:22.993
138711928,29,YS Online,218.9,TRY,2023-09-01T18:16:42.643
138713916,26,Metropol,218.9,TRY,2023-09-01T14:18:14.237
138714746,29,YS Online,262.8,TRY,2023-09-01T14:51:22.903
