order_product_id,feature_id,featureName,additionalPrice
935144454,602098,Cajun Baharatı İstiyorum,0.0
935144454,602102,Normal Pişim,0.0
935148034,602098,Cajun Baharatı İstiyorum,0.0
935148034,602102,Normal Pişim,0.0
935148034,602096,Eldiven İstiyorum,0.0
935151361,602098,Cajun Baharatı İstiyorum,0.0
935151361,602102,Normal Pişim,0.0
935151353,602098,Cajun Baharatı İstiyorum,0.0
935151353,602102,Normal Pişim,0.0
935153994,602098,Cajun Baharatı İstiyorum,0.0
935153994,602096,Eldiven İstiyorum,0.0
935269130,602098,Cajun Baharatı İstiyorum,0.0
935318752,602098,Cajun Baharatı İstiyorum,0.0
935318752,602096,Eldiven İstiyorum,0.0
935318752,602102,Normal Pişim,0.0
935340312,602096,Eldiven İstiyorum,0.0
935340312,602098,Cajun Baharatı İstiyorum,0.0
935340310,602096,Eldiven İstiyorum,0.0
935341067,602098,Cajun Baharatı İstiyorum,0.0
935341067,602102,Normal Pişim,0.0
935636272,602098,Cajun Baharatı İstiyorum,0.0
935636272,602102,Normal Pişim,0.0
935636270,602098,Cajun Baharatı İstiyorum,0.0
935636270,602102,Normal Pişim,0.0
935640391,602098,Cajun Baharatı İstiyorum,0.0
935640391,602102,Normal Pişim,0.0
935640391,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
935683677,602096,Eldiven İstiyorum,0.0
935683677,602098,Cajun Baharatı İstiyorum,0.0
935683677,602102,Normal Pişim,0.0
935816495,602098,Cajun Baharatı İstiyorum,0.0
935816495,602102,Normal Pişim,0.0
935817347,602098,Cajun Baharatı İstiyorum,0.0
935817347,602102,Normal Pişim,0.0
935863011,602098,Cajun Baharatı İstiyorum,0.0
935863011,602102,Normal Pişim,0.0
935873440,602096,Eldiven İstiyorum,0.0
935873440,602098,Cajun Baharatı İstiyorum,0.0
935873440,602102,Normal Pişim,0.0
935878567,602096,Eldiven İstiyorum,0.0
935878567,602098,Cajun Baharatı İstiyorum,0.0
935878567,602102,Normal Pişim,0.0
935901818,602098,Cajun Baharatı İstiyorum,0.0
935901818,602102,Normal Pişim,0.0
935907655,602098,Cajun Baharatı İstiyorum,0.0
935907655,602102,Normal Pişim,0.0
935907671,602098,Cajun Baharatı İstiyorum,0.0
935927846,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
935927846,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
935927843,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
935927843,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
935930694,602096,Eldiven İstiyorum,0.0
935930694,602098,Cajun Baharatı İstiyorum,0.0
935930694,602102,Normal Pişim,0.0
936000141,602098,Cajun Baharatı İstiyorum,0.0
936000141,602096,Eldiven İstiyorum,0.0
936000141,602102,Normal Pişim,0.0
936066882,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
936066882,602102,Normal Pişim,0.0
936071221,602098,Cajun Baharatı İstiyorum,0.0
936071221,602096,Eldiven İstiyorum,0.0
936071221,602102,Normal Pişim,0.0
936100322,602098,Cajun Baharatı İstiyorum,0.0
936100322,602096,Eldiven İstiyorum,0.0
936100322,602102,Normal Pişim,0.0
936100327,602098,Cajun Baharatı İstiyorum,0.0
936100327,602102,Normal Pişim,0.0
936128302,602098,Cajun Baharatı İstiyorum,0.0
936128302,602102,Normal Pişim,0.0
936137457,602098,Cajun Baharatı İstiyorum,0.0
936137457,602102,Normal Pişim,0.0
936137448,602098,Cajun Baharatı İstiyorum,0.0
936137448,602102,Normal Pişim,0.0
936188755,602096,Eldiven İstiyorum,0.0
936188755,602098,Cajun Baharatı İstiyorum,0.0
936188755,602102,Normal Pişim,0.0
936188758,602096,Eldiven İstiyorum,0.0
936188758,602098,Cajun Baharatı İstiyorum,0.0
936188758,602102,Normal Pişim,0.0
936188760,602096,Eldiven İstiyorum,0.0
936188760,602098,Cajun Baharatı İstiyorum,0.0
936188760,602102,Normal Pişim,0.0
936195424,602098,Cajun Baharatı İstiyorum,0.0
936195424,602102,Normal Pişim,0.0
936195424,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
936195421,602096,Eldiven İstiyorum,0.0
936195421,602098,Cajun Baharatı İstiyorum,0.0
936195421,602102,Normal Pişim,0.0
936195429,602096,Eldiven İstiyorum,0.0
936195429,602098,Cajun Baharatı İstiyorum,0.0
936195429,602102,Normal Pişim,0.0
936200225,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
936200225,602102,Normal Pişim,0.0
936213264,602098,Cajun Baharatı İstiyorum,0.0
936213264,602102,Normal Pişim,0.0
936213266,602098,Cajun Baharatı İstiyorum,0.0
936213266,602102,Normal Pişim,0.0
936213407,602098,Cajun Baharatı İstiyorum,0.0
936213407,602102,Normal Pişim,0.0
936213415,602098,Cajun Baharatı İstiyorum,0.0
936213415,602096,Eldiven İstiyorum,0.0
936213415,602102,Normal Pişim,0.0
936224356,602098,Cajun Baharatı İstiyorum,0.0
936224356,602096,Eldiven İstiyorum,0.0
936224356,602102,Normal Pişim,0.0
936262937,911609,ET EKMEK ÇOCUK MENÜ,-15.0
