order_product_id,feature_id,featureName,additionalPrice
953898456,602098,Cajun Baharatı İstiyorum,0.0
953898823,602098,Cajun Baharatı İstiyorum,0.0
953907417,602096,Eldiven İstiyorum,0.0
953907417,602098,Cajun Baharatı İstiyorum,0.0
953907417,602102,Normal Pişim,0.0
953916719,602098,Cajun Baharatı İstiyorum,0.0
953916719,602102,Normal Pişim,0.0
953916713,602098,Cajun Baharatı İstiyorum,0.0
953916713,602096,Eldiven İstiyorum,0.0
953916713,602102,Normal Pişim,0.0
953937145,602098,Cajun Baharatı İstiyorum,0.0
953937145,602096,Eldiven İstiyorum,0.0
953937133,602098,Cajun Baharatı İstiyorum,0.0
953937133,602102,Normal Pişim,0.0
953948242,602098,Cajun Baharatı İstiyorum,0.0
953948250,602098,Cajun Baharatı İstiyorum,0.0
953953547,602098,Cajun Baharatı İstiyorum,0.0
953953547,602102,Normal Pişim,0.0
953953557,602098,Cajun Baharatı İstiyorum,0.0
953953557,602102,Normal Pişim,0.0
953953557,602096,Eldiven İstiyorum,0.0
953960750,602098,Cajun Baharatı İstiyorum,0.0
953960750,602102,Normal Pişim,0.0
953960750,911609,ET EKMEK ÇOCUK MENÜ,-15.0
953960757,602098,Cajun Baharatı İstiyorum,0.0
953960757,602102,Normal Pişim,0.0
953968145,602098,Cajun Baharatı İstiyorum,0.0
953968145,602096,Eldiven İstiyorum,0.0
953968145,602102,Normal Pişim,0.0
953968145,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953991349,602098,Cajun Baharatı İstiyorum,0.0
953991349,602102,Normal Pişim,0.0
953991357,602098,Cajun Baharatı İstiyorum,0.0
953991357,602102,Normal Pişim,0.0
954008489,602102,Normal Pişim,0.0
954008489,602098,Cajun Baharatı İstiyorum,0.0
954034957,602098,Cajun Baharatı İstiyorum,0.0
954034957,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
954034955,602098,Cajun Baharatı İstiyorum,0.0
954037761,602098,Cajun Baharatı İstiyorum,0.0
954051272,602098,Cajun Baharatı İstiyorum,0.0
954051272,602102,Normal Pişim,0.0
954076394,602098,Cajun Baharatı İstiyorum,0.0
954076394,602102,Normal Pişim,0.0
954088665,602098,Cajun Baharatı İstiyorum,0.0
954088665,602102,Normal Pişim,0.0
954088646,602098,Cajun Baharatı İstiyorum,0.0
954088646,602102,Normal Pişim,0.0
954088646,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
954090695,602098,Cajun Baharatı İstiyorum,0.0
954090695,602102,Normal Pişim,0.0
954090695,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
954090692,602098,Cajun Baharatı İstiyorum,0.0
954090692,602102,Normal Pişim,0.0
954090692,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
954090692,911612,FÜME ET İSTEMİYORUM,-5.0
954100230,602096,Eldiven İstiyorum,0.0
954100230,602098,Cajun Baharatı İstiyorum,0.0
954100230,602102,Normal Pişim,0.0
954161493,602096,Eldiven İstiyorum,0.0
954161493,602098,Cajun Baharatı İstiyorum,0.0
954161493,602102,Normal Pişim,0.0
954161497,602098,Cajun Baharatı İstiyorum,0.0
954161497,602102,Normal Pişim,0.0
954393798,602096,Eldiven İstiyorum,0.0
954393798,602098,Cajun Baharatı İstiyorum,0.0
954393798,602102,Normal Pişim,0.0
954492149,602098,Cajun Baharatı İstiyorum,0.0
954492149,602102,Normal Pişim,0.0
954492149,911612,FÜME ET İSTEMİYORUM,-5.0
954532145,602098,Cajun Baharatı İstiyorum,0.0
954532145,602102,Normal Pişim,0.0
954612709,602098,Cajun Baharatı İstiyorum,0.0
954629643,602098,Cajun Baharatı İstiyorum,0.0
954629643,602102,Normal Pişim,0.0
954629643,602096,Eldiven İstiyorum,0.0
954636745,602098,Cajun Baharatı İstiyorum,0.0
954636745,602102,Normal Pişim,0.0
954642480,602098,Cajun Baharatı İstiyorum,0.0
954642480,602102,Normal Pişim,0.0
954695026,602098,Cajun Baharatı İstiyorum,0.0
954719513,602098,Cajun Baharatı İstiyorum,0.0
954719516,602098,Cajun Baharatı İstiyorum,0.0
954730924,602098,Cajun Baharatı İstiyorum,0.0
954730924,602102,Normal Pişim,0.0
954736839,602098,Cajun Baharatı İstiyorum,0.0
954736839,602096,Eldiven İstiyorum,0.0
954736839,602102,Normal Pişim,0.0
954736836,602096,Eldiven İstiyorum,0.0
954736836,602098,Cajun Baharatı İstiyorum,0.0
954736836,602102,Normal Pişim,0.0
954775844,602098,Cajun Baharatı İstiyorum,0.0
954775844,602102,Normal Pişim,0.0
954775844,911609,ET EKMEK ÇOCUK MENÜ,-15.0
954788630,602098,Cajun Baharatı İstiyorum,0.0
954788630,602102,Normal Pişim,0.0
954788634,602098,Cajun Baharatı İstiyorum,0.0
954788634,602102,Normal Pişim,0.0
954788626,602098,Cajun Baharatı İstiyorum,0.0
954788626,602102,Normal Pişim,0.0
954788626,602096,Eldiven İstiyorum,0.0
954791204,602098,Cajun Baharatı İstiyorum,0.0
954791204,602096,Eldiven İstiyorum,0.0
954791204,602102,Normal Pişim,0.0
954795089,602098,Cajun Baharatı İstiyorum,0.0
954795089,602102,Normal Pişim,0.0
954859705,602098,Cajun Baharatı İstiyorum,0.0
954859705,602096,Eldiven İstiyorum,0.0
954859705,602102,Normal Pişim,0.0
954863902,602098,Cajun Baharatı İstiyorum,0.0
954863902,602096,Eldiven İstiyorum,0.0
954863902,602102,Normal Pişim,0.0
954917170,602098,Cajun Baharatı İstiyorum,0.0
954933539,602096,Eldiven İstiyorum,0.0
954933539,602098,Cajun Baharatı İstiyorum,0.0
954933539,602102,Normal Pişim,0.0
954976818,602098,Cajun Baharatı İstiyorum,0.0
955007885,602098,Cajun Baharatı İstiyorum,0.0
955007885,602102,Normal Pişim,0.0
955007885,911609,ET EKMEK ÇOCUK MENÜ,-15.0
955007887,602098,Cajun Baharatı İstiyorum,0.0
955007887,602102,Normal Pişim,0.0
955007890,602096,Eldiven İstiyorum,0.0
955007890,602098,Cajun Baharatı İstiyorum,0.0
955007890,602102,Normal Pişim,0.0
955011342,602096,Eldiven İstiyorum,0.0
955011342,602098,Cajun Baharatı İstiyorum,0.0
955036215,602098,Cajun Baharatı İstiyorum,0.0
955036215,602102,Normal Pişim,0.0
955036220,602098,Cajun Baharatı İstiyorum,0.0
955036220,602102,Normal Pişim,0.0
955046670,602096,Eldiven İstiyorum,0.0
955046670,602098,Cajun Baharatı İstiyorum,0.0
955046670,602102,Normal Pişim,0.0
955104487,602096,Eldiven İstiyorum,0.0
955104487,602098,Cajun Baharatı İstiyorum,0.0
955104487,602102,Normal Pişim,0.0
955104491,602096,Eldiven İstiyorum,0.0
955104491,602098,Cajun Baharatı İstiyorum,0.0
955104491,602102,Normal Pişim,0.0
955113393,602098,Cajun Baharatı İstiyorum,0.0
955113386,602098,Cajun Baharatı İstiyorum,0.0
955407401,602098,Cajun Baharatı İstiyorum,0.0
955407401,602102,Normal Pişim,0.0
955407401,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
955414810,602098,Cajun Baharatı İstiyorum,0.0
