order_id,paymentTypeId,paymentName,amount,currency,insertDate
261625073,29,YS Online,408.97,TRY,2025-02-02T22:15:05.91
261625344,90,Trendyol Online,491.41,TRY,2025-02-02T21:57:19.03
261627909,41,Pluxee (Sodexo) Online,339.9,TRY,2025-02-02T22:12:13.013
261629025,33,Getir Online,497.5,TRY,2025-02-02T22:12:14.76
261629716,29,YS Online,463.16,TRY,2025-02-02T22:15:03.633
261629824,2,Kredi Kartı,434.9,TRY,2025-02-02T22:02:04.71
261631145,33,Getir Online,336.9,TRY,2025-02-02T22:15:06.497
261633845,29,YS Online,1465.82,TRY,2025-02-02T22:57:26.87
261633882,2,Kredi Kartı,1489.0,TRY,2025-02-02T22:44:32.203
261634288,90,Trendyol Online,396.41,TRY,2025-02-02T22:39:48.543
261635614,2,Kredi Kartı,395.16,TRY,2025-02-02T22:39:50.05
261637181,2,Kredi Kartı,463.16,TRY,2025-02-02T22:57:24.957
261638041,90,Trendyol Online,396.41,TRY,2025-02-02T22:57:13.813
261638110,2,Kredi Kartı,339.9,TRY,2025-02-02T23:13:57.463
261638169,33,Getir Online,339.9,TRY,2025-02-02T23:01:58.837
261638802,90,Trendyol Online,842.82,TRY,2025-02-02T23:02:03.373
261641415,53330,Edenred Online,395.16,TRY,2025-02-02T23:02:01.817
261642463,26,Metropol,789.8,TRY,2025-02-02T23:01:41.723
261643777,33,Getir Online,837.8,TRY,2025-02-02T23:32:56.977
261645422,3,Multinet,845.57,TRY,2025-02-02T23:32:57.94
261647685,29,YS Online,581.17,TRY,2025-02-02T23:52:21.333
261649050,33,Getir Online,895.4,TRY,2025-02-02T23:54:32.897
261669671,41,Pluxee (Sodexo) Online,1474.57,TRY,2025-02-03T11:46:04.193
261670301,3,Multinet,1140.7,TRY,2025-02-03T11:59:58.073
261670423,5,SetCard,800.0,TRY,2025-02-03T11:46:00.953
261671404,5,SetCard,403.66,TRY,2025-02-03T11:59:59.84
261671890,3,Multinet,395.16,TRY,2025-02-03T11:59:56.723
261672502,5,SetCard,773.5,TRY,2025-02-03T11:59:55.12
261673209,4,Smart Ticket,402.07,TRY,2025-02-03T12:46:40.683
261674864,91,Pluxee (Sodexo) Pass Mobil,422.41,TRY,2025-02-03T12:49:46.977
261675244,3,Multinet,463.16,TRY,2025-02-03T12:46:42.123
261675851,3,Multinet,403.66,TRY,2025-02-03T12:47:12.98
261676120,29,YS Online,709.13,TRY,2025-02-03T12:46:43.787
261678558,53330,Edenred Online,395.16,TRY,2025-02-03T13:05:29.34
261678644,1,Nakit,858.33,TRY,2025-02-03T12:47:14.727
261680290,33,Getir Online,387.9,TRY,2025-02-03T12:47:20.48
261680566,33,Getir Online,392.9,TRY,2025-02-03T12:47:22.287
261680996,53330,Edenred Online,435.36,TRY,2025-02-03T12:47:19.28
261681916,33,Getir Online,467.8,TRY,2025-02-03T12:47:24.61
261682260,574,Multinet Online,339.9,TRY,2025-02-03T12:47:25.88
261689563,574,Multinet Online,389.9,TRY,2025-02-03T13:05:30.783
261690961,574,Multinet Online,396.41,TRY,2025-02-03T13:19:29.79
261692492,29,YS Online,485.09,TRY,2025-02-03T13:19:27.353
261694370,29,YS Online,403.66,TRY,2025-02-03T13:19:28.783
261696322,90,Trendyol Online,404.01,TRY,2025-02-03T13:05:34.64
261698758,29,YS Online,926.33,TRY,2025-02-03T13:19:13.557
261699521,26,Metropol,403.66,TRY,2025-02-03T13:35:41.26
261699572,4,Smart Ticket,395.16,TRY,2025-02-03T13:35:39.107
261699926,4,Smart Ticket,359.9,TRY,2025-02-03T13:34:07.563
