orderId,productId,featureName,featureId,additionalPrice
256431969,987185,Normal Pişim,602102,0.0
256450751,987186,Cajun Baharatı İstiyorum,602098,0.0
256450751,987186,Normal Pişim,602102,0.0
256450751,987186,Eldiven İstiyorum,602096,0.0
256452906,987186,Eldiven İstiyorum,602096,0.0
256452906,987186,Cajun Baharatı İstiyorum,602098,0.0
256460258,980599,Cajun Baharatı İstiyorum,602098,0.0
256460258,980599,Eldiven İstiyorum,602096,0.0
256460258,980599,Normal Pişim,602102,0.0
256464566,980599,Cajun Baharatı İstiyorum,602098,0.0
256464566,980599,Normal Pişim,602102,0.0
256464566,980599,Cajun Baharatı İstiyorum,602098,0.0
256464566,980599,Normal Pişim,602102,0.0
256467304,980599,Cajun Baharatı İstiyorum,602098,0.0
256467304,980599,Normal Pişim,602102,0.0
256467304,987185,Cajun Baharatı İstiyorum,602098,0.0
256467304,987185,Normal Pişim,602102,0.0
256472570,987155,Cajun Baharatı İstiyorum,602098,0.0
256472570,987155,Eldiven İstiyorum,602096,0.0
256472570,987155,Normal Pişim,602102,0.0
256478351,980599,Cajun Baharatı İstiyorum,602098,0.0
256478351,980599,Normal Pişim,602102,0.0
256478351,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
256478351,980599,Cajun Baharatı İstiyorum,602098,0.0
256478351,980599,Eldiven İstiyorum,602096,0.0
256478351,980599,Normal Pişim,602102,0.0
256479493,987155,Cajun Baharatı İstiyorum,602098,0.0
256479493,987181,Cajun Baharatı İstiyorum,602098,0.0
256479493,987181,Normal Pişim,602102,0.0
256479493,6201435,Cajun Baharatı İstiyorum,602098,0.0
256480924,980599,Eldiven İstiyorum,602096,0.0
256480924,980599,Cajun Baharatı İstiyorum,602098,0.0
256480924,980599,Normal Pişim,602102,0.0
256480924,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
256493553,980599,Cajun Baharatı İstiyorum,602098,0.0
256493553,980599,Normal Pişim,602102,0.0
256493553,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
256493553,987155,Cajun Baharatı İstiyorum,602098,0.0
256496047,980599,Cajun Baharatı İstiyorum,602098,0.0
256496047,980599,Normal Pişim,602102,0.0
256496047,980599,Cajun Baharatı İstiyorum,602098,0.0
256496047,980599,Normal Pişim,602102,0.0
256497934,987185,Cajun Baharatı İstiyorum,602098,0.0
256497934,987185,Normal Pişim,602102,0.0
256501625,980599,Eldiven İstiyorum,602096,0.0
256501625,980599,Cajun Baharatı İstiyorum,602098,0.0
256508723,980599,Cajun Baharatı İstiyorum,602098,0.0
256508723,980599,Normal Pişim,602102,0.0
256555173,980599,Cajun Baharatı İstiyorum,602098,0.0
256555173,980599,Normal Pişim,602102,0.0
256555173,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
256555173,980599,Cajun Baharatı İstiyorum,602098,0.0
256555173,980599,Normal Pişim,602102,0.0
256555173,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
256555173,980599,Cajun Baharatı İstiyorum,602098,0.0
256555173,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
256555173,987154,Cajun Baharatı İstiyorum,602098,0.0
256555173,987186,Cajun Baharatı İstiyorum,602098,0.0
256555173,987186,Normal Pişim,602102,0.0
256605430,980599,Cajun Baharatı İstiyorum,602098,0.0
256605430,980599,Normal Pişim,602102,0.0
256605430,980599,Cajun Baharatı İstiyorum,602098,0.0
256605430,980599,Normal Pişim,602102,0.0
256607787,980599,Cajun Baharatı İstiyorum,602098,0.0
256607787,980599,Eldiven İstiyorum,602096,0.0
256607787,980599,Normal Pişim,602102,0.0
256608619,980599,Cajun Baharatı İstiyorum,602098,0.0
256608619,980599,Normal Pişim,602102,0.0
256608619,987154,Cajun Baharatı İstiyorum,602098,0.0
256608619,987154,Normal Pişim,602102,0.0
256608619,987181,Eldiven İstiyorum,602096,0.0
256608619,987181,Cajun Baharatı İstiyorum,602098,0.0
256608619,987181,Normal Pişim,602102,0.0
256608619,987182,Cajun Baharatı İstiyorum,602098,0.0
256608619,987182,Normal Pişim,602102,0.0
256608619,6201435,Cajun Baharatı İstiyorum,602098,0.0
256608619,6201435,Normal Pişim,602102,0.0
